round,left_x,left_y,right_x,right_y,rel_x,rel_y,dist,angle,left_velocity,right_velocity,rel_velocity,target
21,-501.597160136373,69.1800239565647,-314.440549862167,-87.8076276085798,-187.156610274206,156.987651565145,244.280002278677,-50.0099524174512,-0.0318503253258529,-0.0126716086015768,-0.0191787167242761,3
22,-505.723849851024,68.878002734082,-326.678871637952,-89.8461704557911,-179.044978213072,158.724173189873,239.270698954403,-48.4428683027662,-0.0135766731948143,-0.0402636754134669,0.0266870022186526,3
23,-505.660757212768,69.4831939107383,-347.268160971623,-94.8712286083984,-158.392596241145,164.354422519137,228.255538258351,-43.941745020444,0.000207572701082953,-0.0677380835307936,0.0679456562318766,3
24,-449.899653680309,66.2641976991684,-372.836840524673,-101.94767069391,-77.0628131556355,168.211868393078,185.024079080942,-24.6139110119618,0.183452193402032,-0.0841201132913421,0.267572306693374,4
25,-375.648049350003,72.9188615014862,-400.216634143739,-107.799489582896,24.5685847937351,180.718351084382,182.38074947051,7.74187440544848,0.244285331800955,-0.0900786188958507,0.334363950696805,4
26,-311.060404188177,74.0574213917394,-427.093197367165,-110.38759257264,116.032793178988,184.445013964379,217.907256118831,32.1736496702544,0.212491224545293,-0.0884230074746599,0.300914232019953,4
27,-273.611044708782,68.1034558554659,-450.265521628085,-110.606376653298,176.654476919303,178.709832508764,251.284715911937,44.6686164467681,0.123207158803752,-0.0762361833354733,0.199443342139225,4
28,-258.721520319161,58.749494472689,-467.475837368398,-107.105602266738,208.754317049238,165.855096739427,266.620100519706,51.5328934359561,0.0489860446610229,-0.0566213717392466,0.105607416400269,4
29,-286.73513870408,66.4112475315222,-478.383283905498,-100.007844598406,191.648145201417,166.419092129928,253.819474793588,49.0303416097601,-0.0921638814922194,-0.0358851397279366,-0.0562787417642828,1
30,-295.570682373148,67.0518144899864,-483.505368811814,-95.0239031084457,187.934686438667,162.075717598432,248.169266029955,49.2253682884761,-0.0290686475572752,-0.0168514905790598,-0.0122171569782154,1
31,-317.387070008115,71.2903630092973,-475.649992563968,-90.241273493557,158.262922555853,161.531636502854,226.14071337822,44.4143834328491,-0.0717751965115615,0.0258439290360648,-0.0976191255476263,1
32,-344.329478827826,77.1299443689053,-422.167336174439,-92.0327328927305,77.8378573466131,169.162677261636,186.211555534655,24.7088667491953,-0.0886396373169491,0.175956177372188,-0.264595814689137,2
33,-372.359269581453,82.4836488429865,-355.977028616962,-91.1650789273974,-16.3822409644916,173.648727770384,174.41977661748,-5.3894051350464,-0.0922170880524208,0.217763931022379,-0.3099810190748,2
34,-398.576611002373,81.855273805342,-303.389368974412,-92.2775487040298,-95.1872420279608,174.132822509372,198.451129802705,-28.6625973214194,-0.0862541894644865,0.173011667563024,-0.25926585702751,2
35,-424.61648504918,78.1143091361802,-277.131773993917,-89.6371466054294,-147.484711055263,167.75145574161,223.365823031375,-41.3214784482148,-0.0856703276508624,0.0863866223492129,-0.172056950000075,2
36,-449.886262462288,74.4827312470349,-283.663871541786,-89.7396660513097,-166.222390920502,164.222397298345,233.664030218054,-45.3467744037368,-0.0831367350991745,-0.0214903857125968,-0.0616463493865777,3
37,-471.35995139525,69.1340286438136,-295.298216071528,-92.8762271555999,-176.061735323722,162.010255799414,239.259394025379,-47.3800473497061,-0.0706477290732161,-0.0382766101738563,-0.0323711188993598,3
38,-483.459954169423,62.5380022959458,-296.54183752324,-94.7112916507251,-186.918116646183,157.249293946671,244.26568071934,-49.926980779226,-0.0398086104555044,-0.00409147360122826,-0.0357171368542762,3
39,-496.204517575518,61.4695225275921,-317.061399074045,-97.7731867309263,-179.143118501473,159.242709258518,239.688333797091,-48.3656778161482,-0.0419291936975092,-0.0675086814225597,0.0255794877250505,3
40,-491.156584104589,60.7672287688101,-336.727290250178,-104.486693317968,-154.429293854411,165.253922086778,226.179719615696,-43.0606781464832,0.0166075347997797,-0.0647001340166643,0.081307668816444,3
41,-409.721943945465,56.6579151022224,-357.599717472059,-111.41228066485,-52.1222264734065,168.070195767073,175.96680709079,-17.2298011442768,0.267917283010726,-0.0686695978541634,0.33658688086489,4
42,-328.066866859278,57.3606271435082,-374.813995251665,-114.45830148548,46.7471283923871,171.818928628988,178.064702420631,15.2201705024724,0.268642513237797,-0.0566344067179801,0.325276919955777,4
43,-275.846880842582,60.1299381970727,-386.19998566641,-111.968063117726,110.353104823828,172.098001314799,204.439550480838,32.6689048756437,0.171802033448097,-0.0374595333183008,0.209261566766398,4
44,-257.591766756886,53.2953435879297,-402.816832767654,-108.273014859399,145.225066010768,161.568358447329,217.243306569377,41.9506601956318,0.0600587238714851,-0.0546688794703434,0.114727603341829,4
45,-277.177574989341,50.896873972841,-421.777677763669,-105.900443606848,144.600102774327,156.797317579689,213.294605000998,42.6825687652275,-0.0644366637705439,-0.0623805553139742,-0.00205610845656973,1
46,-295.88906924898,56.4993286096797,-432.407376997776,-98.9752859180713,136.518307748796,155.474614527751,206.904818970336,41.2855457562428,-0.0615601996069175,-0.0349713602523253,-0.0265888393545922,1
47,-313.897106877655,61.6877885621933,-439.880537672738,-93.351155020605,125.983430795083,155.038943582798,199.772117329145,39.0970395604463,-0.0592458504685742,-0.0245864523945367,-0.0346593980740375,1
48,-330.096447969371,67.7934317409934,-436.507450233238,-88.3377098333676,106.411002263867,156.131141574361,188.945057548785,34.2763418358552,-0.0532952984550067,0.0110973465392932,-0.0643926449942999,1
49,-345.550863292429,75.6106258469522,-402.773894348444,-84.921470543144,57.2230310560147,160.532096390096,170.426022821155,19.6190416002437,-0.050844517219975,0.110982287406006,-0.161826804625981,2
50,-366.351165705597,82.9162113702713,-337.260527135739,-85.2616751266702,-29.0906385698576,168.177886496941,170.675325571625,-9.81365333500746,-0.0684323096098679,0.215536819591943,-0.283969129201811,2
51,-383.07229920111,84.9619055492318,-283.286315775033,-84.4117781699215,-99.7859834260769,169.373683719153,196.582520140792,-30.504334277707,-0.0550119782714564,0.17757337703158,-0.232585355303036,2
52,-400.875623503215,83.4082755557567,-253.271853077252,-80.6097977513214,-147.603770425963,164.018073307078,220.655390632829,-41.9848007907592,-0.0585723503690645,0.0987465933576108,-0.157318943726675,2
53,-420.598536799854,82.8053595017079,-253.508280214513,-81.6210539930035,-167.090256585341,164.426413494711,234.425253120241,-45.4603801118385,-0.0648877349143613,-0.000777837491774389,-0.064109897422587,2
